Date,Vol State,Hmm state,True State,Adj CLose,Collective State,XOR,New State
1988-10-20,1,1.0,1.0,160.5299987792969,,,1.0
1988-10-21,1,1.0,1.0,160.8600006103516,,,1.0
1988-10-24,1,1.0,1.0,160.2899932861328,,,1.0
1988-10-25,1,1.0,1.0,160.25,,,1.0
1988-10-26,1,1.0,1.0,159.6999969482422,,,1.0
1988-10-27,1,1.0,1.0,157.5399932861328,,,1.0
1988-10-28,1,1.0,1.0,158.1699981689453,,,1.0
1988-10-31,1,1.0,1.0,158.3600006103516,,,1.0
1988-11-01,1,1.0,1.0,158.3800048828125,,,1.0
1988-11-02,1,1.0,1.0,158.3200073242188,,,1.0
1988-11-03,1,1.0,1.0,158.4499969482422,,,1.0
1988-11-04,1,1.0,1.0,157.1000061035156,,,1.0
1988-11-07,1,1.0,1.0,155.6799926757812,,,1.0
1988-11-08,1,1.0,1.0,156.3300018310547,,,1.0
1988-11-09,1,1.0,1.0,155.4199981689453,,,1.0
1988-11-10,1,1.0,1.0,155.6000061035156,,,1.0
1988-11-11,1,0.0,1.0,152.7299957275391,,State change,0.0
1988-11-14,1,0.0,1.0,152.4700012207031,,,0.0
1988-11-15,1,0.0,1.0,152.7200012207031,,,0.0
1988-11-16,1,0.0,1.0,150.3200073242188,,,0.0
1988-11-17,1,1.0,1.0,150.5599975585938,,State change,1.0
1988-11-18,1,1.0,1.0,151.4299926757812,,,1.0
1988-11-21,1,1.0,1.0,151.1300048828125,,,1.0
1988-11-22,1,1.0,1.0,151.5500030517578,,,1.0
1988-11-23,1,1.0,1.0,152.5099945068359,,,1.0
1988-11-25,1,1.0,1.0,151.6300048828125,,,1.0
1988-11-28,1,1.0,1.0,152.2599945068359,,,1.0
1988-11-29,1,1.0,1.0,153.4600067138672,,,1.0
1988-11-30,1,1.0,1.0,154.9799957275391,,,1.0
1988-12-01,1,1.0,1.0,154.6100006103516,,,1.0
1988-12-02,1,1.0,1.0,154.3200073242188,,,1.0
1988-12-05,1,1.0,1.0,155.7599945068359,,,1.0
1988-12-06,1,1.0,1.0,157.0500030517578,,,1.0
1988-12-07,1,1.0,1.0,157.3600006103516,,,1.0
1988-12-08,1,1.0,1.0,156.5899963378906,,,1.0
1988-12-09,1,1.0,1.0,156.8099975585938,,,1.0
1988-12-12,1,1.0,1.0,156.5500030517578,,,1.0
1988-12-13,1,1.0,1.0,156.4100036621094,,,1.0
1988-12-14,1,1.0,1.0,155.8899993896484,,,1.0
1988-12-15,1,1.0,1.0,155.4400024414062,,,1.0
1988-12-16,1,1.0,1.0,156.4799957275391,,,1.0
1988-12-19,1,1.0,1.0,157.6399993896484,,,1.0
1988-12-20,1,1.0,1.0,157.0800018310547,,,1.0
1988-12-21,1,1.0,1.0,156.9900054931641,,,1.0
1988-12-22,1,1.0,1.0,156.8300018310547,,,1.0
1988-12-23,1,1.0,1.0,157.3899993896484,,,1.0
1988-12-27,1,1.0,1.0,156.8999938964844,,,1.0
1988-12-28,1,1.0,1.0,157.1199951171875,,,1.0
1988-12-29,1,1.0,1.0,158.2799987792969,,,1.0
1988-12-30,1,1.0,1.0,157.8099975585938,,,1.0
1989-01-03,1,1.0,1.0,156.5599975585938,,,1.0
1989-01-04,1,1.0,1.0,158.6699981689453,,,1.0
1989-01-05,1,1.0,1.0,159.0,,,1.0
1989-01-06,1,1.0,1.0,159.4700012207031,,,1.0
1989-01-09,1,1.0,1.0,159.6799926757812,,,1.0
1989-01-10,1,1.0,1.0,159.3800048828125,,,1.0
1989-01-11,1,1.0,1.0,160.1000061035156,,,1.0
1989-01-12,1,1.0,1.0,160.6999969482422,,,1.0
1989-01-13,1,1.0,1.0,161.0099945068359,,,1.0
1989-01-16,1,1.0,1.0,161.2200012207031,,,1.0
1989-01-17,1,1.0,1.0,160.8600006103516,,,1.0
1989-01-18,1,1.0,1.0,162.3699951171875,,,1.0
1989-01-19,1,1.0,1.0,162.6999969482422,,,1.0
1989-01-20,1,1.0,1.0,162.5700073242188,,,1.0
1989-01-23,1,1.0,1.0,161.5099945068359,,,1.0
1989-01-24,1,1.0,1.0,163.3399963378906,,,1.0
1989-01-25,1,1.0,1.0,163.7700042724609,,,1.0
1989-01-26,1,1.0,1.0,165.1199951171875,,,1.0
1989-01-27,1,1.0,1.0,166.2599945068359,,,1.0
1989-01-30,1,1.0,1.0,166.8899993896484,,,1.0
1989-01-31,1,1.0,1.0,168.1799926757812,,,1.0
1989-02-01,1,1.0,1.0,168.1600036621094,,,1.0
1989-02-02,1,1.0,1.0,168.1799926757812,,,1.0
1989-02-03,1,1.0,1.0,168.3300018310547,,,1.0
1989-02-06,1,1.0,1.0,167.9299926757812,,,1.0
1989-02-07,1,1.0,1.0,169.8399963378906,,,1.0
1989-02-08,1,1.0,1.0,169.4400024414062,,,1.0
1989-02-09,1,1.0,1.0,167.9199981689453,,,1.0
1989-02-10,1,1.0,1.0,165.75,,,1.0
1989-02-13,1,1.0,1.0,165.8699951171875,,,1.0
1989-02-14,1,1.0,1.0,165.6900024414062,,,1.0
1989-02-15,1,1.0,1.0,166.9700012207031,,,1.0
1989-02-16,1,1.0,1.0,167.3699951171875,,,1.0
1989-02-17,1,1.0,1.0,168.3399963378906,,,1.0
1989-02-21,1,1.0,1.0,167.9499969482422,,,1.0
1989-02-22,1,1.0,1.0,165.4600067138672,,,1.0
1989-02-23,1,1.0,1.0,165.9600067138672,,,1.0
1989-02-24,1,1.0,1.0,163.6100006103516,,,1.0
1989-02-27,1,1.0,1.0,163.8200073242188,,,1.0
1989-02-28,1,1.0,1.0,164.3500061035156,,,1.0
1989-03-01,1,1.0,1.0,163.6799926757812,,,1.0
1989-03-02,1,1.0,1.0,165.1300048828125,,,1.0
1989-03-03,1,1.0,1.0,165.7700042724609,,,1.0
1989-03-06,1,1.0,1.0,167.4600067138672,,,1.0
1989-03-07,1,1.0,1.0,167.1499938964844,,,1.0
1989-03-08,1,1.0,1.0,167.3000030517578,,,1.0
1989-03-09,1,1.0,1.0,167.1699981689453,,,1.0
1989-03-10,1,1.0,1.0,166.7200012207031,,,1.0
1989-03-13,1,1.0,1.0,167.8600006103516,,,1.0
1989-03-14,1,1.0,1.0,167.75,,,1.0
1989-03-15,1,1.0,1.0,168.4700012207031,,,1.0
1989-03-16,1,1.0,1.0,169.9199981689453,,,1.0
1989-03-17,1,0.0,1.0,166.3300018310547,,State change,0.0
1989-03-20,1,0.0,1.0,164.8000030517578,,,0.0
